,date,value,buySell
0,1986-01-02,1.46,-1
1,1986-01-03,1.5,0
2,1986-01-06,1.45,1
3,1986-01-06,0.7,-1
4,1986-01-07,1.51,0
5,1986-01-08,1.5,0
6,1986-01-09,1.51,0
7,1986-01-09,0.75,0
8,1986-01-10,1.5,1
9,1986-01-13,1.5,0
10,1986-01-14,1.45,0
11,1986-01-15,1.6,0
12,1986-01-15,1.71,0
13,1986-01-16,1.6,0
14,1986-01-17,1.5,0
15,1986-01-17,0.75,0
16,1986-01-20,1.5,0
17,1986-01-21,1.5,0
18,1986-01-22,1.5,0
19,1986-01-22,0.75,0
20,1986-01-23,1.5,0
21,1986-01-24,1.5,0
22,1986-01-27,1.4,0
23,1986-01-28,1.4,0
24,1986-01-28,0.7,0
25,1986-01-29,1.41,0
26,1986-01-30,1.45,0
27,1986-01-31,1.5,0
28,1986-02-03,1.6,0
29,1986-02-04,1.61,0
30,1986-02-05,1.65,0
31,1986-02-06,1.7,0
32,1986-02-06,1.92,0
33,1986-02-07,1.7,0
34,1986-02-13,1.7,0
35,1986-02-14,1.7,0
36,1986-02-17,1.7,0
37,1986-02-18,1.71,0
38,1986-02-18,0.9,0
39,1986-02-19,1.72,0
40,1986-02-20,1.72,0
41,1986-02-21,1.75,0
42,1986-02-24,1.72,0
43,1986-02-25,1.72,0
44,1986-02-25,0.85,0
45,1986-02-26,1.68,0
46,1986-02-27,1.63,0
47,1986-03-04,2.5,0
48,1986-03-05,2.4,0
49,1986-03-05,2.5,0
50,1986-03-12,1.5,0
51,1986-03-12,0.75,0
52,1986-03-14,1.65,0
53,1986-03-17,1.65,0
54,1986-03-17,0.8,0
55,1986-03-18,1.8,0
56,1986-03-18,0.9,0
57,1986-03-20,2.2,0
58,1986-03-21,2.4,0
59,1986-03-21,2.27,0
60,1986-03-24,2.4,0
61,1986-03-25,2.7,0
62,1986-03-26,2.7,0
63,1986-03-31,3.0,0
64,1986-03-31,1.5,0
65,1986-04-01,3.0,0
66,1986-04-01,3.09,0
67,1986-04-02,2.68,0
68,1986-04-03,2.3,0
69,1986-04-04,2.4,0
70,1986-04-07,2.65,0
71,1986-04-08,2.8,0
72,1986-04-09,2.7,0
73,1986-04-09,1.0,0
74,1986-04-14,2.4,0
75,1986-04-15,2.3,0
76,1986-04-16,2.2,0
77,1986-04-17,2.2,0
78,1986-04-18,2.41,0
79,1986-04-22,2.8,0
80,1986-04-22,1.25,0
81,1986-04-23,2.4,0
82,1986-04-23,1.2,0
83,1986-04-24,2.7,0
84,1986-04-25,2.5,0
85,1986-04-25,1.5,0
86,1986-04-28,3.01,0
87,1986-04-29,2.8,0
88,1986-04-30,3.0,0
89,1986-05-02,2.7,0
90,1986-05-02,2.61,0
91,1986-05-05,2.6,0
92,1986-05-06,2.7,0
93,1986-05-07,2.5,0
94,1986-05-08,2.75,0
95,1986-05-09,2.8,0
96,1986-05-12,2.6,0
97,1986-05-12,2.79,0
98,1986-05-13,2.59,0
99,1986-05-14,2.5,-1
100,1986-05-15,2.5,1
101,1986-05-28,2.0,-1
102,1986-05-29,2.51,0
103,1986-06-03,2.39,0
104,1986-06-10,1.16,0
105,1986-06-11,2.85,0
106,1986-06-11,5000.0,0
107,1986-06-12,2.5,1
108,1986-06-12,2.61,0
109,1986-06-13,2.0,0
110,1986-06-13,1.0,0
111,1986-06-16,2.1,0
112,1986-06-16,2.19,0
113,1986-06-17,2.0,0
114,1986-06-18,1.85,0
115,1986-06-19,2.0,0
116,1986-06-19,1.0,0
117,1986-06-24,0.9,-1
118,1986-06-25,1.7,0
119,1986-06-25,0.9,0
120,1986-06-26,1.6,0
121,1986-06-26,0.8,0
122,1986-06-27,1.5,1
123,1986-07-01,1.85,0
124,1986-07-02,1.85,0
125,1986-07-04,1.78,0
126,1986-07-08,1.74,0
127,1986-07-09,1.78,0
128,1986-07-09,1.82,0
129,1986-07-10,1.61,0
130,1986-07-16,2.1,0
131,1986-07-17,1.0,-1
132,1986-07-23,1.7,0
133,1986-07-24,1.7,0
134,1986-07-25,1.75,0
135,1986-07-28,1.9,0
136,1986-07-28,1.88,0
137,1986-07-28,0.8,0
138,1986-07-29,1.85,1
139,1986-07-29,1.0,0
140,1986-07-31,1.85,0
141,1986-08-01,1.99,0
142,1986-08-04,1.85,0
143,1986-08-05,1.94,0
144,1986-08-08,1.8,0
145,1986-08-11,1.8,0
146,1986-08-12,1.89,0
147,1986-08-18,1.8,-1
148,1986-08-18,1.92,0
149,1986-08-20,1.8,0
150,1986-08-25,1.8,0
151,1986-08-25,0.9,0
152,1986-08-28,1.5,0
153,1986-08-29,1.89,0
154,1986-09-01,1.8,1
155,1986-09-01,1.91,0
156,1986-09-02,1.91,0
157,1986-09-08,1.5,0
158,1986-09-08,0.8,0
159,1986-09-29,1.78,-1
160,1986-09-29,1.9,0
161,1986-10-01,1.0,1
162,1986-10-01,1.07,-1
163,1986-10-02,1.2,1
164,1986-10-02,1.48,0
165,1986-10-06,1.54,0
166,1986-10-06,1.64,0
167,1986-10-08,1.7,0
168,1986-10-09,1.69,0
169,1986-10-10,1.69,0
170,1986-10-10,1.8,0
171,1986-10-20,1.6,0
172,1986-10-20,1.75,0
173,1986-10-20,0.65,0
174,1986-10-21,1.7,0
175,1986-10-23,1.49,-1
176,1986-10-23,1.68,1
177,1986-10-24,1.48,-1
178,1986-10-24,1.57,1
179,1986-10-27,1.49,0
180,1986-10-27,1.58,0
181,1986-10-31,1.48,-1
182,1986-10-31,1.57,1
183,1986-11-05,1.35,-1
184,1986-11-12,1.5,0
185,1986-11-13,1.5,0
186,1986-11-21,1.5,0
187,1986-11-21,1.64,0
188,1986-11-24,1.5,1
189,1986-11-24,1.66,-1
190,1986-11-25,1.5,1
191,1986-11-25,0.8,-1
192,1986-11-28,1.5,1
193,1986-11-28,1.7,-1
194,1986-12-04,1.15,0
195,1986-12-11,1.5,0
196,1986-12-11,1.62,0
197,1986-12-15,1.5,1
198,1986-12-15,1.62,0
199,1986-12-15,0.5,0
200,1986-12-16,1.5,0
201,1986-12-16,1.62,0
202,1986-12-17,1.5,0
203,1986-12-17,1.6,0
204,1986-12-19,1.65,0
205,1986-12-19,1.76,0
206,1986-12-22,0.8,-1
