,date,value,buySell
0,1986-01-02,0.75,-1
1,1986-01-03,0.8,0
2,1986-01-03,0.97,0
3,1986-01-06,0.85,0
4,1986-01-07,0.75,0
5,1986-01-08,0.7,0
6,1986-01-09,0.7,0
7,1986-01-10,0.7,0
8,1986-01-13,0.65,0
9,1986-01-14,0.66,0
10,1986-01-15,0.65,0
11,1986-01-15,0.3,0
12,1986-01-16,0.6,0
13,1986-01-17,0.6,0
14,1986-01-20,0.65,0
15,1986-01-21,0.63,0
16,1986-01-22,0.6,0
17,1986-01-23,0.6,0
18,1986-01-24,0.6,0
19,1986-01-27,0.6,0
20,1986-01-28,0.62,0
21,1986-01-28,0.3,0
22,1986-01-29,0.65,0
23,1986-01-29,0.74,0
24,1986-01-29,0.31,0
25,1986-01-30,0.7,0
26,1986-01-31,0.65,0
27,1986-02-03,0.66,0
28,1986-02-04,0.65,0
29,1986-02-05,0.7,0
30,1986-02-06,0.7,0
31,1986-02-07,0.8,0
32,1986-02-13,0.8,0
33,1986-02-14,0.85,0
34,1986-02-17,0.9,0
35,1986-02-18,0.9,0
36,1986-02-19,0.9,0
37,1986-02-20,0.9,0
38,1986-02-21,0.89,0
39,1986-02-24,0.8,0
40,1986-02-25,0.79,0
41,1986-02-26,0.75,0
42,1986-02-27,0.74,0
43,1986-03-04,0.78,0
44,1986-03-05,0.8,0
45,1986-03-06,0.85,0
46,1986-03-07,0.95,0
47,1986-03-10,1.0,0
48,1986-03-10,1.13,0
49,1986-03-11,1.11,0
50,1986-03-12,1.2,0
51,1986-03-13,1.2,0
52,1986-03-13,1.27,0
53,1986-03-14,1.21,0
54,1986-03-17,1.21,0
55,1986-03-18,1.3,0
56,1986-03-19,1.5,0
57,1986-03-19,1.87,0
58,1986-03-20,1.8,0
59,1986-03-21,2.6,0
60,1986-03-24,2.5,0
61,1986-03-25,2.65,0
62,1986-03-25,2.68,0
63,1986-03-26,2.5,0
64,1986-03-26,2.6,0
65,1986-03-31,2.5,0
66,1986-03-31,2.58,0
67,1986-04-01,2.4,0
68,1986-04-01,2.48,0
69,1986-04-02,2.1,0
70,1986-04-02,2.27,0
71,1986-04-03,2.3,0
72,1986-04-04,2.5,0
73,1986-04-04,3.3,0
74,1986-04-07,4.0,0
75,1986-04-07,4.32,0
76,1986-04-08,4.2,0
77,1986-04-08,4.45,0
78,1986-04-09,4.1,0
79,1986-04-09,4.26,0
80,1986-04-09,2.05,0
81,1986-04-10,4.11,0
82,1986-04-10,4.17,0
83,1986-04-11,4.2,0
84,1986-04-14,3.99,0
85,1986-04-14,4.47,0
86,1986-04-15,4.1,0
87,1986-04-16,3.85,0
88,1986-04-17,4.0,0
89,1986-04-17,4.14,0
90,1986-04-18,4.1,0
91,1986-04-18,4.34,0
92,1986-04-22,4.2,0
93,1986-04-22,4.25,0
94,1986-04-23,4.2,0
95,1986-04-23,4.43,0
96,1986-04-24,4.19,0
97,1986-04-24,4.34,0
98,1986-04-25,4.2,0
99,1986-04-25,4.35,0
100,1986-04-28,4.8,0
101,1986-04-28,4.86,0
102,1986-04-29,4.5,0
103,1986-04-29,1.0,0
104,1986-04-30,4.3,0
105,1986-04-30,4.48,0
106,1986-05-02,4.2,0
107,1986-05-02,4.68,0
108,1986-05-05,4.3,0
109,1986-05-05,4.45,0
110,1986-05-06,4.5,0
111,1986-05-06,4.66,0
112,1986-05-07,4.15,1
113,1986-05-07,4.16,-1
114,1986-05-08,4.0,1
115,1986-05-09,3.8,-1
116,1986-05-09,3.92,1
117,1986-05-12,3.5,-1
118,1986-05-13,3.4,1
119,1986-05-14,3.4,-1
120,1986-05-14,3.1,1
121,1986-05-15,3.0,-1
122,1986-05-15,3.09,1
123,1986-05-16,3.0,-1
124,1986-05-19,2.8,1
125,1986-05-20,2.5,-1
126,1986-05-20,3.09,1
127,1986-05-21,2.5,-1
128,1986-05-21,2.47,1
129,1986-05-22,2.3,-1
130,1986-05-22,2.56,1
131,1986-05-23,2.45,-1
132,1986-05-23,2.52,1
133,1986-05-27,2.51,-1
134,1986-05-27,3.09,1
135,1986-05-28,3.0,-1
136,1986-05-28,3.07,1
137,1986-05-29,3.0,-1
138,1986-05-29,3.38,1
139,1986-05-30,3.0,-1
140,1986-06-02,3.0,1
141,1986-06-02,3.09,-1
142,1986-06-03,2.8,1
143,1986-06-04,2.6,-1
144,1986-06-04,2.68,1
145,1986-06-04,1.5,-1
146,1986-06-05,2.5,1
147,1986-06-06,2.0,-1
148,1986-06-09,2.4,1
149,1986-06-10,2.5,-1
150,1986-06-10,2.26,1
151,1986-06-11,3.49,-1
152,1986-06-11,3.59,1
153,1986-06-12,2.3,-1
154,1986-06-13,2.6,1
155,1986-06-16,2.4,-1
156,1986-06-16,2.47,1
157,1986-06-17,2.5,-1
158,1986-06-17,2.58,1
159,1986-06-18,2.39,-1
160,1986-06-18,2.36,1
161,1986-06-19,2.3,-1
162,1986-06-20,2.0,1
163,1986-06-24,2.0,-1
164,1986-06-24,2.05,1
165,1986-06-25,1.8,-1
166,1986-06-25,1.86,1
167,1986-06-26,1.99,-1
168,1986-06-26,2.04,1
169,1986-06-27,1.8,-1
170,1986-06-27,1.86,1
171,1986-06-30,1.8,-1
172,1986-07-01,1.8,1
173,1986-07-01,1.85,-1
174,1986-07-02,1.7,1
175,1986-07-02,1.76,-1
176,1986-07-03,1.8,1
177,1986-07-04,1.85,0
178,1986-07-07,1.69,-1
