,date,value,buySell
0,1986-01-02,320.0,-1
1,1986-01-08,160.0,0
2,1986-01-09,320.0,0
3,1986-01-09,165.0,0
4,1986-01-10,330.0,0
5,1986-01-16,350.0,0
6,1986-01-16,165.0,0
7,1986-01-27,350.0,0
8,1986-01-27,200.0,0
9,1986-02-07,150.0,0
10,1986-02-17,330.0,0
11,1986-02-17,165.0,0
12,1986-02-18,300.0,0
13,1986-02-18,150.0,0
14,1986-02-20,200.0,1
15,1986-02-25,200.0,0
16,1986-02-26,200.0,0
17,1986-02-26,120.0,0
18,1986-03-07,200.0,0
19,1986-03-07,100.0,0
20,1986-03-12,199.99,0
21,1986-03-19,200.0,0
22,1986-03-21,200.0,0
23,1986-03-21,100.0,0
24,1986-03-24,260.0,0
25,1986-03-25,260.01,0
26,1986-03-25,100.0,0
27,1986-03-31,300.0,0
28,1986-04-01,300.0,0
29,1986-04-02,300.0,0
30,1986-04-02,100.0,0
31,1986-04-04,320.0,0
32,1986-04-09,330.0,0
33,1986-04-10,320.0,0
34,1986-04-10,160.0,0
35,1986-04-11,385.0,0
36,1986-04-14,390.01,0
37,1986-04-14,410.0,0
38,1986-04-15,405.0,0
39,1986-04-15,150.0,0
40,1986-04-16,420.01,0
41,1986-04-16,100.0,0
42,1986-04-17,450.0,0
43,1986-04-18,470.0,0
44,1986-04-18,486.45,0
45,1986-04-22,480.0,0
46,1986-04-22,240.0,0
47,1986-04-23,525.0,0
48,1986-04-23,525.0,0
49,1986-04-24,600.0,0
50,1986-04-25,630.0,0
51,1986-04-25,350.0,0
52,1986-05-08,64.0,-1
53,1986-05-08,32.0,0
54,1986-05-13,65.0,0
55,1986-05-13,33.0,0
56,1986-05-15,105.04,0
57,1986-05-15,50.0,0
58,1986-05-16,105.0,0
59,1986-05-20,110.0,0
60,1986-05-27,105.0,0
61,1986-05-27,50.0,0
62,1986-05-29,110.0,0
63,1986-05-29,110.0,0
64,1986-05-30,110.0,0
65,1986-05-30,55.0,0
66,1986-06-04,95.0,0
67,1986-06-04,96.05,0
68,1986-06-17,89.0,0
69,1986-06-17,35.0,0
70,1986-06-20,85.0,0
71,1986-06-26,85.0,0
72,1986-07-01,62.0,0
73,1986-07-01,70.0,0
74,1986-07-04,65.0,0
75,1986-07-08,59.0,0
76,1986-07-09,50.0,0
77,1986-07-09,20.0,0
78,1986-07-16,50.0,0
79,1986-07-16,25.0,0
80,1986-07-17,50.0,0
81,1986-07-18,50.0,0
82,1986-07-21,50.0,0
83,1986-07-21,25.0,0
84,1986-07-22,49.99,1
85,1986-07-22,49.99,0
86,1986-07-24,50.0,0
87,1986-07-24,53.25,0
88,1986-07-28,47.0,0
89,1986-07-29,47.0,0
90,1986-07-29,20.0,0
91,1986-07-30,49.0,0
92,1986-07-30,51.7,0
93,1986-08-01,47.0,0
94,1986-08-01,23.5,0
95,1986-08-05,45.0,0
96,1986-08-06,42.0,0
97,1986-08-07,42.0,0
98,1986-08-07,21.0,0
99,1986-08-08,42.0,0
100,1986-08-08,21.0,0
101,1986-08-26,38.49,0
102,1986-08-27,37.99,0
103,1986-08-27,19.0,0
104,1986-08-28,37.99,-1
105,1986-09-01,37.99,0
106,1986-09-01,19.0,0
107,1986-09-02,35.0,0
108,1986-09-03,33.0,1
109,1986-09-03,16.0,0
110,1986-09-04,31.5,0
111,1986-09-04,15.0,0
112,1986-09-10,33.0,0
113,1986-09-11,28.0,0
114,1986-09-11,10.0,0
115,1986-09-15,31.0,0
116,1986-09-15,32.96,0
117,1986-09-18,25.0,0
118,1986-09-22,25.0,0
119,1986-09-22,29.68,0
120,1986-09-22,12.0,0
121,1986-09-23,25.0,0
122,1986-09-24,24.0,0
123,1986-09-29,24.0,0
124,1986-09-29,12.0,0
125,1986-09-30,24.0,0
126,1986-10-02,22.0,0
127,1986-10-02,11.0,0
128,1986-10-03,21.5,0
129,1986-10-06,21.5,0
130,1986-10-06,10.2,0
131,1986-10-07,22.0,0
132,1986-10-07,11.0,0
133,1986-10-08,22.0,0
134,1986-10-17,20.0,0
135,1986-10-20,20.0,0
136,1986-10-20,10.0,0
137,1986-10-22,19.3,0
138,1986-10-23,19.5,0
139,1986-10-23,9.5,0
140,1986-10-24,20.0,0
141,1986-10-27,20.0,0
142,1986-10-28,21.0,0
143,1986-10-29,22.0,0
144,1986-10-31,21.5,0
145,1986-10-31,11.0,0
146,1986-11-14,21.5,0
147,1986-11-14,22.22,0
148,1986-11-17,21.0,-1
149,1986-11-25,21.5,0
150,1986-11-25,10.25,0
151,1986-12-01,21.5,0
152,1986-12-02,21.5,0
153,1986-12-02,10.75,0
154,1986-12-04,19.0,1
155,1986-12-04,10.75,0
156,1986-12-08,17.0,0
157,1986-12-08,8.5,0
158,1986-12-11,18.0,0
159,1986-12-15,17.0,0
160,1986-12-18,8.5,-1
161,1986-12-19,16.5,0
162,1986-12-19,8.0,0
163,1986-12-29,17.5,0
164,1986-12-29,8.25,0
165,1987-01-05,18.0,0
166,1987-01-05,8.5,0
167,1987-01-07,17.0,0
168,1987-01-12,8.0,0
169,1987-01-20,16.5,0
170,1987-01-22,17.0,0
171,1987-01-23,16.8,0
172,1987-02-03,15.0,0
173,1987-02-09,15.0,0
174,1987-02-18,10.0,0
175,1987-02-24,16.0,0
176,1987-02-25,15.0,0
177,1987-02-25,12.0,0
178,1987-02-26,15.0,0
179,1987-02-26,8.0,0
180,1987-03-11,14.01,0
181,1987-03-11,7.0,0
182,1987-03-17,11.0,0
183,1987-03-19,14.0,0
184,1987-03-19,1.0,0
185,1987-03-20,14.0,0
186,1987-03-20,7.0,0
187,1987-03-23,14.0,0
188,1987-03-23,7.0,0
189,1987-04-02,12.0,0
190,1987-04-09,13.0,0
191,1987-04-09,6.5,0
192,1987-04-14,20.0,0
193,1987-04-21,25.0,0
194,1987-04-23,20.0,0
195,1987-04-23,6.0,0
196,1987-04-24,19.5,1
197,1987-04-24,9.75,0
198,1987-04-28,25.01,0
199,1987-04-29,25.01,0
200,1987-04-29,12.5,0
201,1987-04-30,25.0,0
202,1987-04-30,12.5,0
203,1987-05-11,25.0,0
204,1987-05-11,12.5,0
205,1987-05-12,26.0,0
206,1987-05-12,15.0,0
207,1987-05-13,25.0,0
208,1987-05-13,12.5,0
209,1987-05-14,25.1,0
210,1987-05-15,26.01,0
211,1987-05-18,24.95,0
212,1987-05-19,25.01,0
213,1987-05-20,25.0,0
214,1987-05-27,25.0,0
215,1987-05-29,25.0,0
216,1987-06-01,25.0,0
217,1987-06-03,25.0,-1
218,1987-06-08,21.0,0
219,1987-06-10,20.0,0
220,1987-06-11,20.02,0
221,1987-06-18,24.99,0
222,1987-06-19,25.0,0
223,1987-06-22,21.0,1
224,1987-06-23,25.0,0
225,1987-06-24,27.0,0
226,1987-06-30,27.0,0
227,1987-07-01,26.0,0
228,1987-07-02,26.0,0
229,1987-07-03,26.0,0
230,1987-07-07,26.0,0
231,1987-07-08,26.0,0
232,1987-07-21,26.0,-1
233,1987-07-22,27.0,0
234,1987-07-27,26.0,0
235,1987-07-28,26.0,0
236,1987-07-30,26.0,0
237,1987-07-31,28.0,0
238,1987-08-03,28.0,0
239,1987-08-07,28.0,0
240,1987-08-11,28.0,0
241,1987-08-13,28.0,0
242,1987-08-18,28.01,0
243,1987-08-20,28.0,0
244,1987-08-21,28.5,0
245,1987-08-24,29.5,0
246,1987-08-25,31.0,0
247,1987-08-26,30.0,0
248,1987-08-31,31.0,0
249,1987-09-01,31.0,0
250,1987-09-02,32.0,0
251,1987-09-09,31.0,0
252,1987-09-10,32.5,0
253,1987-09-14,34.0,0
254,1987-09-15,30.0,0
255,1987-09-18,35.5,0
256,1987-09-22,33.0,0
257,1987-09-23,40.5,0
258,1987-09-24,41.02,0
259,1987-09-25,41.51,0
260,1987-09-29,42.01,0
261,1987-10-05,45.0,0
262,1987-10-05,38.0,0
263,1987-10-06,45.0,0
264,1987-10-06,45.0,0
265,1987-10-07,45.0,0
266,1987-10-08,50.0,0
267,1987-10-08,30.0,0
268,1987-10-09,50.0,0
269,1987-10-13,51.0,0
270,1987-10-13,51.0,0
271,1987-10-15,58.0,0
272,1987-10-19,59.0,0
273,1987-10-19,28.5,0
274,1987-10-20,59.0,0
275,1987-10-21,58.0,1
276,1987-10-23,57.0,0
277,1987-10-27,35.0,0
278,1987-10-28,56.0,0
279,1987-10-28,35.0,0
280,1987-10-29,56.0,0
281,1987-10-30,57.0,0
282,1987-10-30,35.0,0
283,1987-11-03,57.0,0
284,1987-11-09,57.0,0
285,1987-11-09,28.5,0
286,1987-11-11,30.0,-1
287,1987-11-20,30.0,0
288,1987-11-27,57.1,0
