,date,value,buySell
0,1986-01-02,4.0,-1
1,1986-01-02,1.9,0
2,1986-01-03,4.0,0
3,1986-01-03,4.75,0
4,1986-01-03,2.0,0
5,1986-01-06,4.0,0
6,1986-01-06,4.93,0
7,1986-01-07,4.1,0
8,1986-01-07,4.56,0
9,1986-01-07,2.0,0
10,1986-01-08,3.81,1
11,1986-01-08,2.0,-1
12,1986-01-09,4.0,0
13,1986-01-09,2.0,0
14,1986-01-10,4.0,0
15,1986-01-10,4.6,0
16,1986-01-10,1.4,0
17,1986-01-13,4.0,0
18,1986-01-13,4.47,0
19,1986-01-13,1.75,0
20,1986-01-14,3.6,1
21,1986-01-14,3.62,-1
22,1986-01-14,1.6,1
23,1986-01-15,3.5,-1
24,1986-01-15,4.43,1
25,1986-01-16,3.5,-1
26,1986-01-16,1.8,1
27,1986-01-17,3.5,-1
28,1986-01-17,4.01,1
29,1986-01-17,1.6,-1
30,1986-01-20,3.3,1
31,1986-01-20,1.65,-1
32,1986-01-21,3.3,1
33,1986-01-21,1.65,-1
34,1986-01-22,3.3,1
35,1986-01-22,3.76,-1
36,1986-01-22,1.6,1
37,1986-01-23,3.2,-1
38,1986-01-23,1.5,1
39,1986-01-24,3.1,-1
40,1986-01-24,3.52,1
41,1986-01-24,1.35,-1
42,1986-01-27,3.1,1
43,1986-01-27,1.5,-1
44,1986-01-28,2.8,1
45,1986-01-28,1.45,-1
46,1986-01-29,3.0,1
47,1986-01-29,3.41,-1
48,1986-01-30,2.6,1
49,1986-01-30,1.5,-1
50,1986-01-31,3.0,1
51,1986-01-31,1.3,-1
52,1986-02-03,2.7,1
53,1986-02-03,3.06,-1
54,1986-02-03,1.35,1
55,1986-02-04,2.5,-1
56,1986-02-04,2.94,1
57,1986-02-04,1.3,-1
58,1986-02-05,2.6,1
59,1986-02-05,3.13,-1
60,1986-02-05,1.3,1
61,1986-02-06,2.8,-1
62,1986-02-06,3.12,1
63,1986-02-07,2.9,-1
64,1986-02-07,3.36,1
65,1986-02-07,1.35,-1
66,1986-02-13,2.9,1
67,1986-02-13,1.4,-1
68,1986-02-14,2.9,1
69,1986-02-14,3.06,-1
70,1986-02-14,1.4,1
71,1986-02-17,2.7,-1
72,1986-02-17,3.08,1
73,1986-02-17,1.4,-1
74,1986-02-18,2.8,1
75,1986-02-18,3.25,-1
76,1986-02-18,1.4,1
77,1986-02-19,2.8,-1
78,1986-02-19,3.43,1
79,1986-02-19,1.5,-1
80,1986-02-20,3.0,1
81,1986-02-20,1.7,0
82,1986-02-21,3.3,0
83,1986-02-21,3.97,0
84,1986-02-21,1.6,0
85,1986-02-24,3.6,0
86,1986-02-24,4.1,0
87,1986-02-24,1.75,0
88,1986-02-25,3.6,0
89,1986-02-25,3.88,0
90,1986-02-25,1.8,0
91,1986-02-26,3.6,0
92,1986-02-26,4.13,0
93,1986-02-27,3.7,0
94,1986-02-27,4.53,0
95,1986-02-27,1.9,0
96,1986-03-04,4.0,0
97,1986-03-04,4.35,0
98,1986-03-04,2.0,0
99,1986-03-05,4.8,0
100,1986-03-05,4.77,0
101,1986-03-06,4.5,0
102,1986-03-06,4.68,0
103,1986-03-07,3.99,0
104,1986-03-07,1.8,0
105,1986-03-10,3.6,0
106,1986-03-10,3.71,0
107,1986-03-10,1.65,0
108,1986-03-11,3.4,0
109,1986-03-11,3.27,0
110,1986-03-11,1.7,0
111,1986-03-12,3.1,0
112,1986-03-12,3.28,0
113,1986-03-12,3.25,0
114,1986-03-12,1.0,0
115,1986-03-13,3.5,0
116,1986-03-13,3.89,0
117,1986-03-13,2.0,0
118,1986-03-14,4.0,0
119,1986-03-14,4.0,0
120,1986-03-14,1.9,0
121,1986-03-17,3.8,0
122,1986-03-17,4.65,0
123,1986-03-17,2.2,0
124,1986-03-18,4.5,0
125,1986-03-18,4.65,0
126,1986-03-18,2.25,0
127,1986-03-19,4.7,0
128,1986-03-19,4.81,0
129,1986-03-20,4.79,0
130,1986-03-20,4.76,0
131,1986-03-20,2.3,0
132,1986-03-21,4.7,0
133,1986-03-21,4.14,0
134,1986-03-21,2.0,0
135,1986-03-24,4.0,0
136,1986-03-24,4.72,0
137,1986-03-24,2.0,0
138,1986-03-25,5.0,0
139,1986-03-25,2.0,0
140,1986-03-26,6.62,0
141,1986-03-26,8.28,0
142,1986-03-26,3.2,0
143,1986-03-31,6.9,0
144,1986-03-31,8.8,0
145,1986-03-31,4.25,0
146,1986-04-01,7.5,0
147,1986-04-01,7.21,0
148,1986-04-02,6.99,0
149,1986-04-02,7.14,0
150,1986-04-02,3.4,0
151,1986-04-03,6.49,0
152,1986-04-03,6.21,0
153,1986-04-04,6.0,0
154,1986-04-04,7.42,0
155,1986-04-04,3.5,0
156,1986-04-07,7.2,0
157,1986-04-07,7.77,0
158,1986-04-07,3.0,0
159,1986-04-08,6.7,0
160,1986-04-08,7.77,0
161,1986-04-08,3.5,0
162,1986-04-09,6.99,0
163,1986-04-09,7.28,0
164,1986-04-09,4.0,0
165,1986-04-10,6.99,0
166,1986-04-10,7.23,0
167,1986-04-10,3.0,0
168,1986-04-11,7.5,0
169,1986-04-11,7.21,0
170,1986-04-11,3.0,0
171,1986-04-14,7.99,0
172,1986-04-14,8.23,0
173,1986-04-14,4.0,0
174,1986-04-15,8.0,0
175,1986-04-15,8.51,0
176,1986-04-15,4.0,0
177,1986-04-16,7.8,0
178,1986-04-16,8.8,0
179,1986-04-16,3.0,0
180,1986-04-17,8.0,0
181,1986-04-17,8.8,0
182,1986-04-17,4.0,0
183,1986-04-18,9.0,0
184,1986-04-18,9.27,0
185,1986-04-18,4.0,0
186,1986-04-22,10.0,0
187,1986-04-22,12.42,0
188,1986-04-22,5.5,0
189,1986-04-23,11.5,0
190,1986-04-23,11.33,0
191,1986-04-23,5.5,0
192,1986-04-24,12.0,0
193,1986-04-24,12.0,0
194,1986-04-24,5.5,0
195,1986-04-25,12.0,0
196,1986-04-25,11.96,0
197,1986-04-25,5.0,0
198,1986-04-28,11.0,0
199,1986-04-28,11.44,0
200,1986-04-28,5.0,0
201,1986-04-29,10.0,0
202,1986-04-29,10.35,0
203,1986-04-29,4.75,0
204,1986-04-30,11.0,0
205,1986-04-30,11.36,0
206,1986-04-30,5.5,0
207,1986-05-02,11.0,0
208,1986-05-02,5.0,0
209,1986-05-05,10.0,0
210,1986-05-05,10.3,0
211,1986-05-05,5.0,0
212,1986-05-06,9.0,0
213,1986-05-06,9.32,0
214,1986-05-06,4.0,0
215,1986-05-07,8.1,0
216,1986-05-07,8.45,0
217,1986-05-07,4.0,0
218,1986-05-08,8.2,0
219,1986-05-08,8.8,0
220,1986-05-09,8.5,0
221,1986-05-09,8.75,0
222,1986-05-09,4.0,0
223,1986-05-12,8.5,0
224,1986-05-12,9.15,0
225,1986-05-12,4.0,0
226,1986-05-13,8.0,0
227,1986-05-13,9.06,0
228,1986-05-13,4.0,0
229,1986-05-14,7.0,0
230,1986-05-14,8.24,0
231,1986-05-14,3.5,0
232,1986-05-15,9.0,0
233,1986-05-16,8.0,0
234,1986-05-16,3.8,0
235,1986-05-19,7.5,0
236,1986-05-19,7.69,0
237,1986-05-20,8.0,0
238,1986-05-20,7.72,0
239,1986-05-21,6.49,-1
240,1986-05-21,6.67,1
241,1986-05-21,3.2,-1
242,1986-05-22,6.5,1
