,date,value,buySell
0,1986-01-02,8.5,-1
1,1986-01-02,4.25,0
2,1986-01-03,8.7,0
3,1986-01-03,10.97,0
4,1986-01-06,10.6,0
5,1986-01-07,10.5,0
6,1986-01-07,12.02,0
7,1986-01-07,5.25,0
8,1986-01-08,9.5,0
9,1986-01-08,4.0,0
10,1986-01-09,9.0,0
11,1986-01-10,8.5,0
12,1986-01-10,4.5,0
13,1986-01-13,8.5,0
14,1986-01-14,8.5,0
15,1986-01-14,4.25,0
16,1986-01-15,7.0,0
17,1986-01-15,9.09,0
18,1986-01-15,4.0,0
19,1986-01-16,8.0,0
20,1986-01-16,9.31,0
21,1986-01-16,4.1,0
22,1986-01-17,8.3,0
23,1986-01-20,7.95,0
24,1986-01-21,8.0,0
25,1986-01-22,7.8,0
26,1986-01-22,9.12,0
27,1986-01-22,5.0,0
28,1986-01-23,7.8,0
29,1986-01-24,7.5,0
30,1986-01-24,8.52,0
31,1986-01-24,3.5,0
32,1986-01-27,7.5,0
33,1986-01-28,7.0,1
34,1986-01-28,8.01,-1
35,1986-01-29,6.8,1
36,1986-01-30,6.5,-1
37,1986-01-31,6.4,1
38,1986-01-31,7.41,-1
39,1986-02-03,6.5,1
40,1986-02-03,7.98,-1
41,1986-02-03,3.4,1
42,1986-02-04,6.9,-1
43,1986-02-05,6.8,1
44,1986-02-05,7.73,-1
45,1986-02-05,3.4,1
46,1986-02-06,6.8,-1
47,1986-02-06,7.76,1
48,1986-02-07,7.0,-1
49,1986-02-07,3.0,1
50,1986-02-13,7.1,-1
51,1986-02-14,8.0,0
52,1986-02-17,8.0,0
53,1986-02-17,9.92,0
54,1986-02-18,9.0,0
55,1986-02-19,9.51,0
56,1986-02-20,10.5,0
57,1986-02-20,5.0,0
58,1986-02-21,11.0,0
59,1986-02-24,11.5,0
60,1986-02-24,7.0,0
61,1986-02-25,10.8,0
62,1986-02-25,5.0,0
63,1986-02-26,10.5,0
64,1986-02-27,10.0,0
